Country or Region, Death Rate in 1990, Death Rate in 2021, Absolute Change, Relative Change
Malaysia,2.2,1.3,-0.9,-40%,
Maldives,9.3,0.5,-8.8,-95%,
Mali,95.3,33.2,-62.1,-65%,
Malta,0.6,0.2,-0.4,-61%,
Marshall Islands,18.9,10.3,-8.6,-45%,
Mauritania,64.1,22.6,-41.5,-65%,
Mauritius,1.2,0.3,-0.9,-77%,
Mexico,6.7,1.1,-5.6,-84%,
Micronesia (country),17.8,8.6,-9.2,-52%,
Middle East & North Africa (WB),7.8,1.2,-6.6,-85%,
Moldova,2.4,0.6,-1.8,-74%,
Monaco,0.3,0.2,-0.1,-37%,
Mongolia,13.2,1.4,-11.9,-90%,
Montenegro,0.2,0.1,-0.1,-47%,
Morocco,12.1,1.5,-10.6,-88%,
Mozambique,80.3,34.1,-46.1,-57%,
Myanmar,32.4,4.3,-28.2,-87%,
Namibia,61.8,22.1,-39.7,-64%,
Nauru,13.4,8.3,-5.1,-38%,
Nepal,57.0,7.4,-49.5,-87%,
Netherlands,0.4,0.2,-0.2,-43%,
New Zealand,0.4,0.1,-0.3,-77%,
Nicaragua,11.0,1.2,-9.8,-89%,
Niger,161.4,54.2,-107.2,-66%,
Nigeria,93.3,33.2,-60.1,-64%,
Niue,7.3,5.2,-2.2,-30%,
North America (WB),0.2,0.1,-0.1,-58%,
North Korea,1.9,0.7,-1.2,-62%,
North Macedonia,0.8,0.1,-0.7,-84%,
Northern Mariana Islands,2.8,1.9,-0.9,-32%,
Norway,0.7,0.2,-0.5,-67%,
Oman,5.4,0.8,-4.6,-86%,
Pakistan,37.1,7.2,-29.9,-81%,
Palau,7.6,4.4,-3.1,-41%,
Palestine,6.2,1.3,-4.9,-79%,
Panama,3.1,0.6,-2.5,-79%,
Papua New Guinea,46.5,21.8,-24.6,-53%,
Paraguay,7.3,1.6,-5.8,-78%,
Peru,15.1,3.5,-11.6,-77%,
Philippines,11.0,4.4,-6.5,-60%,
Poland,0.5,0.3,-0.1,-30%,
Portugal,1.0,0.4,-0.6,-61%,
Puerto Rico,3.0,0.6,-2.4,-80%,
Qatar,1.4,0.3,-1.1,-81%,
Romania,2.2,0.4,-1.7,-80%,
Russia,0.4,0.2,-0.3,-59%,
Rwanda,83.0,26.3,-56.7,-68%,
Saint Kitts and Nevis,8.0,2.6,-5.3,-67%,
Saint Lucia,7.0,1.9,-5.0,-72%,
Saint Vincent and the Grenadines,7.9,3.2,-4.7,-60%,
Samoa,5.2,2.3,-2.9,-57%,
San Marino,0.2,0.1,-0.2,-77%,
Sao Tome and Principe,61.1,23.1,-37.9,-62%,
Saudi Arabia,4.7,0.7,-3.9,-84%,
Senegal,81.3,20.5,-60.8,-75%,
Serbia,0.5,0.1,-0.4,-73%,
Seychelles,3.0,1.6,-1.3,-44%,
Sierra Leone,99.0,40.3,-58.7,-59%,
Singapore,1.3,0.3,-0.9,-74%,
Slovakia,1.0,0.2,-0.8,-77%,
Slovenia,0.4,0.1,-0.3,-71%,
Solomon Islands,46.6,21.4,-25.1,-54%,
Somalia,119.9,68.0,-51.9,-43%,
South Africa,37.6,17.4,-20.2,-54%,
South Asia (WB),69.2,11.7,-57.4,-83%,
South Korea,0.5,0.1,-0.4,-73%,
South Sudan,109.8,78.4,-31.4,-29%,
South-East Asia (WHO),61.1,9.9,-51.1,-84%,
Spain,0.5,0.2,-0.3,-63%,
Sri Lanka,6.6,0.6,-5.9,-91%,
Sub-Saharan Africa (WB),82.4,32.4,-50.0,-61%,
Sudan,20.5,2.4,-18.0,-88%,
Suriname,8.3,2.6,-5.7,-69%,
Sweden,0.5,0.2,-0.3,-66%,
Switzerland,0.4,0.1,-0.3,-73%,
Syria,2.9,0.9,-2.1,-71%,
Taiwan,1.1,0.3,-0.8,-75%,
Tajikistan,15.0,3.9,-11.0,-74%,
Tanzania,82.8,27.0,-55.7,-67%,
Thailand,7.7,2.5,-5.2,-68%,
Togo,84.2,40.4,-43.8,-52%,
Tokelau,15.6,8.2,-7.4,-48%,
Tonga,7.7,4.7,-3.0,-39%,
Trinidad and Tobago,4.7,0.9,-3.8,-80%,
Tunisia,3.0,0.6,-2.4,-80%,
Turkey,5.3,0.8,-4.5,-85%,
Turkmenistan,2.2,0.2,-2.0,-89%,
Tuvalu,23.9,7.7,-16.2,-68%,
Uganda,70.8,28.3,-42.5,-60%,
Ukraine,0.4,0.2,-0.2,-43%,
United Arab Emirates,2.1,0.6,-1.4,-69%,
United Kingdom,0.7,0.3,-0.4,-60%,
United States,0.2,0.1,-0.1,-57%,
United States Virgin Islands,1.9,0.5,-1.4,-71%,
Upper-middle-income countries,6.3,1.0,-5.3,-84%,
Uruguay,0.8,0.3,-0.4,-59%,
Uzbekistan,5.6,0.7,-4.9,-87%,
Vanuatu,25.4,10.5,-14.9,-59%,
Venezuela,4.0,1.2,-2.8,-71%,
Vietnam,6.2,1.1,-5.1,-82%,
Western Pacific (WHO),6.2,0.7,-5.5,-88%,
World,22.5,6.0,-16.5,-73%,
Yemen,31.5,5.1,-26.5,-84%,
Zambia,92.2,29.4,-62.8,-68%,
Zimbabwe,34.0,31.0,-3.0,-9%,
