Country or Region, Death Rate in 1990, Death Rate in 2021, Absolute Change, Relative Change
Latvia,0.2,0.0,-0.2,-92%,
Lebanon,1.9,0.1,-1.8,-93%,
Lesotho,138.8,63.1,-75.8,-55%,
Liberia,115.3,29.3,-86.0,-75%,
Libya,5.4,0.5,-4.9,-90%,
Lithuania,0.3,0.0,-0.3,-85%,
Luxembourg,0.0,0.0,-0.0,-43%,
Madagascar,100.2,46.1,-54.2,-54%,
Malawi,151.1,46.0,-105.1,-70%,
Malaysia,3.3,0.7,-2.6,-78%,
Maldives,45.2,0.4,-44.8,-99%,
Mali,146.2,40.4,-105.8,-72%,
Malta,0.0,0.0,-0.0,-53%,
Marshall Islands,26.8,10.0,-16.9,-63%,
Mauritania,73.1,14.9,-58.2,-80%,
Mauritius,3.8,0.4,-3.4,-89%,
Mexico,17.3,0.7,-16.6,-96%,
Micronesia (country),22.0,8.0,-14.0,-64%,
Moldova,1.6,0.2,-1.4,-88%,
Monaco,0.0,0.0,-0.0,-48%,
Mongolia,4.0,0.4,-3.6,-91%,
Montenegro,0.0,0.0,-0.0,-80%,
Morocco,16.6,0.7,-15.8,-96%,
Mozambique,104.9,31.6,-73.3,-70%,
Myanmar,72.6,6.8,-65.8,-91%,
Namibia,86.5,25.1,-61.5,-71%,
Nauru,12.9,5.5,-7.3,-57%,
Nepal,96.7,11.4,-85.3,-88%,
Netherlands,0.0,0.0,+0.0,+8%,
New Zealand,0.1,0.1,-0.0,-46%,
Nicaragua,27.4,2.1,-25.4,-92%,
Niger,225.6,66.0,-159.6,-71%,
Nigeria,127.9,35.1,-92.8,-73%,
Niue,7.9,3.0,-4.9,-61%,
North Korea,0.5,0.2,-0.3,-67%,
North Macedonia,2.4,0.2,-2.2,-91%,
Northern Mariana Islands,3.3,2.1,-1.2,-36%,
Norway,0.0,0.0,+0.0,+17%,
Oman,1.7,0.1,-1.6,-95%,
Pakistan,82.0,15.1,-66.8,-82%,
Palau,13.9,5.5,-8.4,-60%,
Palestine,3.1,0.1,-3.0,-97%,
Panama,7.1,1.1,-6.0,-85%,
Papua New Guinea,67.2,30.9,-36.3,-54%,
Paraguay,9.1,0.8,-8.3,-92%,
Peru,10.5,0.8,-9.6,-92%,
Philippines,20.8,2.3,-18.5,-89%,
Poland,0.1,0.1,+0.0,+39%,
Portugal,0.1,0.0,-0.1,-77%,
Puerto Rico,0.1,0.1,-0.0,-33%,
Qatar,0.4,0.1,-0.4,-88%,
Romania,1.0,0.4,-0.7,-63%,
Russia,0.6,0.1,-0.5,-86%,
Rwanda,71.1,19.2,-51.9,-73%,
Saint Kitts and Nevis,8.8,1.1,-7.8,-88%,
Saint Lucia,5.3,0.6,-4.7,-89%,
Saint Vincent and the Grenadines,8.2,1.1,-7.0,-86%,
Samoa,3.7,0.7,-3.0,-82%,
San Marino,0.0,0.0,-0.0,-83%,
Sao Tome and Principe,56.2,6.5,-49.7,-88%,
Saudi Arabia,4.4,0.2,-4.2,-95%,
Senegal,122.0,17.4,-104.6,-86%,
Serbia,0.2,0.1,-0.2,-72%,
Seychelles,3.9,0.8,-3.1,-80%,
Sierra Leone,118.8,39.0,-79.8,-67%,
Singapore,0.3,0.0,-0.3,-89%,
Slovakia,0.0,0.0,-0.0,-69%,
Slovenia,0.0,0.0,+0.0,+1%,
Solomon Islands,42.6,14.1,-28.6,-67%,
Somalia,171.6,89.4,-82.1,-48%,
South Africa,42.8,15.4,-27.4,-64%,
South Korea,0.6,0.1,-0.5,-90%,
South Sudan,153.1,110.6,-42.6,-28%,
Spain,0.0,0.0,-0.0,-45%,
Sri Lanka,22.3,1.0,-21.3,-95%,
Sudan,34.9,3.5,-31.4,-90%,
Suriname,10.7,1.8,-8.9,-83%,
Sweden,0.0,0.0,+0.0,+331%,
Switzerland,0.0,0.0,-0.0,-34%,
Syria,2.3,0.2,-2.2,-92%,
Taiwan,0.6,0.0,-0.6,-95%,
Tajikistan,22.1,6.0,-16.0,-73%,
Tanzania,102.2,32.2,-70.0,-68%,
Thailand,16.2,0.6,-15.6,-96%,
Togo,111.1,35.9,-75.2,-68%,
Tokelau,22.6,7.7,-14.9,-66%,
Tonga,4.7,1.8,-2.9,-62%,
Trinidad and Tobago,3.4,0.3,-3.1,-90%,
Tunisia,2.2,0.2,-1.9,-90%,
Turkey,4.4,0.2,-4.3,-96%,
Turkmenistan,16.0,0.5,-15.5,-97%,
Tuvalu,27.6,7.1,-20.5,-74%,
Uganda,94.6,24.3,-70.3,-74%,
Ukraine,0.3,0.0,-0.2,-84%,
United Arab Emirates,0.6,0.1,-0.5,-89%,
United Kingdom,0.0,0.0,+0.0,+114%,
United States,0.0,0.1,+0.1,+151%,
United States Virgin Islands,0.8,0.1,-0.6,-81%,
Uruguay,1.2,0.1,-1.0,-88%,
Uzbekistan,7.7,0.2,-7.5,-98%,
Vanuatu,40.7,15.1,-25.6,-63%,
Venezuela,7.5,1.4,-6.1,-82%,
Vietnam,10.7,0.8,-9.9,-93%,
Yemen,44.4,3.3,-41.1,-93%,
Zambia,119.4,27.8,-91.6,-77%,
Zimbabwe,33.5,30.0,-3.4,-10%,
